Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Транспортная логистика (линейное программирование). Учебное пособие,Пашков Николай Николаевич,Прометей,518,1152,55,На складе
Генетические алгоритмы на Python,Вирсански Эйял,ДМК-Пресс,1393,3095,55,На складе
C#. Основы программирования. Учебное пособие,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,1477,3283,55,На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,569,1264,55,На складе
Обработка естественного языка в действии,Хобсон Лейн и др.,Питер:Для профессионалов,2781,3565,22,На складе
"Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go",Цукалос Михалис,Питер:Для профессионалов,4058,5203,22,На складе
Эффективный TypeScript. 62 способа улучшить код,Вандеркам Дэн,Питер:Бестселлеры O`Reilly,1572,2016,22,На складе
Istio. Приступаем к работе,"Калькот Ли, Бутчер Зак",ДМК-Пресс,1161,2580,55,На складе
Апокалипсис криптографии. Подготовка к криптовалютным вычислениям,Граймс Роджер А.,ДМК-Пресс,1164,2587,55,На складе
Проектирование веб-API,Лоре Арно,ДМК-Пресс,1277,2837,55,На складе
Гид по Computer Science для каждого программиста,Спрингер Вильям,Питер:Библиотека программиста,1069,1371,22,Ограничено
Глубокое обучение в картинках. Визуальный гид по искусственному интеллекту,Крон Джон и др.,Питер:Библиотека программиста,1558,1998,22,На складе
Глубокое обучение с подкреплением. AlphaGo и другие технологии,Лапань Максим,Питер:Для профессионалов,2469,3166,22,На складе
Spring Boot 2. Лучшие практики для профессионалов,Гутьеррес Фелипе,Питер:Библиотека программиста,2495,3199,22,На складе
"Python. Искусственный интеллект, большие данные и облачные вычисления","Дейтел Пол Дж., Дейтел Харви",Питер:Для профессионалов,3146,4033,22,На складе
Эволюционные нейросети на языке Python,Омельяненко Ярослав,ДМК-Пресс,1161,2580,55,На складе
Алгоритмы обучения с подкреплением на Python,Лонца Андреа,ДМК-Пресс,1393,3095,55,На складе
Цифровой синтез. Практический курс,Романов А. Ю. и др.,ДМК-Пресс,1625,3611,55,На складе
Системное программирование. Лабораторные работы. Учебное пособие,Жулабова Фатима Тахировна,Лань:Учебники для вузов. Специальная литература,691,1535,55,На складе
Криптография и взлом шифров на Python,Свейгарт Эл,Диалектика,1789,3976,55,На складе
Программист-прагматик,"Томас Дэвид, Хант Эндрю",Диалектика,2573,5717,55,На складе
Учимся программировать с примерами на Python,Фримен Эрик,Диалектика:Head First,2573,5717,55,На складе
Параллельное программирование на C++ с помощью библиотеки TBB,Восс Майкл и др.,ДМК-Пресс,1741,3869,55,На складе
Предметно-ориентированное проектирование в Enterprise Java,Наир Виджей,ДМК-Пресс,1161,2580,55,На складе
Генеративное глубокое обучение. Творческий потенциал нейронных сетей,Фостер Дэвид,Питер:Бестселлеры O`Reilly,2086,2674,22,На складе
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel,"Феррари Альберто, Руссо Марко",ДМК-Пресс,1219,2709,55,На складе
Технологии программирования на Java 2. Распределенные приложения,Дейтел Харви и др.,Бином,470,1044,55,На складе
Silverlight 4. Создание насыщенных Web-приложений,Байдачный Сергей Сергеевич,Солон-пресс:Библиотека профессионала,314,697,55,На складе
EJB 3 в действии,Панда Дебу и др.,ДМК-Пресс:Программирование в действии,1161,2580,55,На складе
"Обработка неструктурированных текстов. Поиск, организация и манипулирование",Ингерсолл Грант С. и др.,ДМК-Пресс:Программирование в действии,870,1934,55,На складе
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell,Бёрд Ричард,ДМК-Пресс,870,1934,55,На складе
Асинхронное программирование в C# 5.0,Дэвис Алекс,ДМК-Пресс,297,660,55,На складе
"Программирование в Delphi для Windows: Версии 2006, 2007, Turbo Delphi (+СD)",Архангельский Алексей Яковлевич,Бином: ,941,2092,55,На складе
Практика программирования на языке Паскаль. Задачи и решения,Медведик Владимир Иванович,ДМК-Пресс,813,1806,55,На складе
Методы обработки и распознавания изображений лиц в задачах биометрии,Кухарев Георгий Александрович и др.,Политехника,545,1212,55,На складе
Эффективные технологии создания информационных систем,"Мещеряков Сергей Владимирович, Иванов Владимир Михайлович",Политехника,305,677,55,На складе
Введение в теорию языков программирования,"Довек Жиль, Леви Жан-Жак",ДМК-Пресс,466,1035,55,На складе
Spring в действии,Уоллс Крейг,ДМК-Пресс:Программирование в действии,1451,3224,55,На складе
Программирование на языке OCaml,Мински Ярон и др.,ДМК-Пресс:Функциональное программирование,1161,2580,55,На складе
CUDA Fortran для инженеров и научных работников. Рекомендации по эффективному программированию,"Рутш Грегори, Фатика Массимилиано",ДМК-Пресс,696,1547,55,Ограничено
Платформа Windows Azure,"Редкар Теджасви, Тони Гвидичи",ДМК-Пресс,929,2064,55,Ограничено
"За пределами ""Linux с нуля"". Версия 7.4. Том 2",,ДМК-Пресс,929,2064,55,Ограничено
.NET Сетевое программирование,Кумар Винод и др.,Лори,707,1570,55,Ограничено
Редкая профессия,Зуев Евгений Александрович,ДМК-Пресс,352,783,55,На складе
Моделирование электротехнических устройств в MATLAB. SimPowerSystems и Simulink,Черных Илья Викторович,ДМК-Пресс:Проектирование,466,1035,55,На складе
Java. Эффективное программирование,Блох Джошуа,Лори,747,1661,55,На складе
Разработка веб-приложений с использованием AngularJS,"Козловский Павел, Бэкон Дарвин Питер",ДМК-Пресс,753,1674,55,На складе
Zend Framework 2.0 разработка веб-приложений,Шасанкар Кришна,Питер:Библиотека программиста,473,607,22,Ограничено
Основы теории вейвлетов. Вейвлеты в MATLAB,Смоленцев Николай Константинович,ДМК-Пресс:Математика и Matlab,787,1749,55,Ограничено
LabVIEW. Практический курс для инженеров и разработчиков,Магда Юрий Степанович,ДМК-Пресс:Все о LabVIEW,352,783,55,На складе
Программирование для школьников и студентов. Учебное пособие,"Колесов Вадим Владимирович, Романов Максим Николаевич",Феникс:Абитуриент,202,259,22,Ограничено
"Принципы построения, применения и проектирования компьютерной платформы U-SYS","Росляков Александр Владимирович, Крылов Павел Сергеевич",Солон-пресс:Библиотека студента,205,455,55,На складе
Разработка приложений Java EE 6 в NetBeans 7,Хеффельфингер Дэвид,ДМК-Пресс,696,1547,55,На складе
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум,Санников Е. В.,Солон-пресс:Элективный курс. Профильное обучение,487,1083,55,На складе
C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++,"Грегори Кейт, Миллер Эйд",ДМК-Пресс,813,1806,55,Ограничено
Оптимизация производительности приложений для iOS. Для профессионалов,Во Ханг,ДМК-Пресс,555,1234,55,Ограничено
Изучаем программирование для iPAD. Практич. руководство по созданию приложений для iPAD с ОС iOS 5,"Тэрнер Кирби, Харрингтон Том",ДМК-Пресс,727,1615,55,Ограничено
Программирование на алгоритмическом языке КуМир,"Анеликова Людмила Александровна, Гусева Ольга Борисовна",Солон-пресс:Элективный курс. Профильное обучение,185,411,55,На складе
Создание web-приложений в Silverlight,Буньон Лоран,ДМК-Пресс,504,1120,55,На складе
С++ для начинающих,Шилдт Герберт,Эком:Шаг за шагом,626,1392,55,На складе
Профессиональное программирование приложений для iPhone и iPad,Баклин Джин,Эксмо:Мировой компьютерный бестселлер,1043,1429,27,На складе
Silverlight. Практическое руководство,Браун Пит,Питер,1332,1708,22,На складе
PHP. Создание динамических страниц,Пауэрс Дэвид,Рид Групп:Веб-технологии,1163,1593,27,На складе
Изучаем Java,"Сьерра Кэтти, Бейтс Берт",Эксмо:Мировой компьютерный бестселлер,1590,2178,27,На складе
1С: Предприятие 8.2. Коротко о главном. Новые возможности версии 8.2 (+CD),Радченко Максим Григорьевич,1С:1С: Предприятие 8.2,189,419,55,На складе
"Как настраивать ""1С: Предприятие 8.2"" при внедрении +СD",Ажеронок Валентин Александрович,1С:1С: Предприятие 8.2,183,407,55,На складе
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов,Гультяев Алексей Константинович,Корона-Принт: ,220,489,55,На складе
Руководство разработчика по Microsoft Enterprise Library,Хоумер Алекс и др.,Эком,411,913,55,На складе
Silverlight 2. Технология создания интернет-приложений,Буньон Лоран,ДМК-Пресс: ,405,900,55,Ограничено
Go. Идиомы и паттерны проектирования,,Питер:Бестселлеры O`Reilly,2588,3318,22,На складе
Python. Чистый код для продолжающих,,Питер:Библиотека программиста,2075,2660,22,На складе
Как проектировать программы,,ДМК-Пресс,2149,4776,55,На складе
Введение в программирование и структуры данных,Фислер Кати и др.,ДМК-Пресс,1612,3582,55,На складе
Программирование в САПР. Учебное пособие,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,2311,5136,55,На складе
Как работают компьютерные сети и интернет,Северанс Чарльз Р.,ДМК-Пресс,753,1674,55,На складе
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow,"Ханнес Хапке, Нельсон Кэтрин",ДМК-Пресс,1219,2709,55,На складе
"SQL для хранения, обработки и анализа данных","Туманов Владимир Евгеньевич, Гайфуллин Булат Накиевич",Солон-пресс:Библиотека студента,463,1028,55,На складе
"Безопасность веб-приложений. Разведка, защита, нападение",Хоффман Эндрю,Питер:Бестселлеры O`Reilly,2311,2963,22,На складе
Распределенные данные. Алгоритмы работы современных систем хранения информации,Петров Алекс,Питер:Бестселлеры O`Reilly,2503,3209,22,На складе
Безопасно by Design,Берг Джонсон Дэн и др.,Питер:Библиотека программиста,2029,2601,22,На складе
Пакет прикладных программ. Учебное пособие,Шитов Виктор Николаевич,ИНФРА-М:Среднее профессиональное образование,1458,3240,55,На складе
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,1155,2567,55,На складе
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,1161,2580,55,На складе
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1044,2321,55,На складе
Data Science для карьериста,"Нолис Жаклин, Робинсон Эмили",Питер:Библиотека программиста,2253,2889,22,На складе
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер:Для профессионалов,2847,3650,22,На складе
Программная инженерия. Учебное пособие,Маран Михкель Михкелевич,Лань:Учебники для вузов. Специальная литература,1287,2860,55,На складе
Алгоритмы обработки текста. 125 задач с решениями,Крошемор Максим и др.,ДМК-Пресс,1294,2875,55,На складе
Аналитика в Power BI с помощью R и Python,Уэйд Райан,ДМК-Пресс,1509,3354,55,На складе
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,ДМК-Пресс,2200,4888,55,На складе
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,ДМК-Пресс,2200,4888,55,На складе
"Python, например",Лейси Никола,Питер:Библиотека программиста,1143,1466,22,На складе
"Изучаем SQL. Генерация, выборка и обработка данных",Болье Алан,Диалектика,2573,5717,55,На складе
Знакомство с программированием на языке Processing,"Риас Кейси, Фрай Бен",ДМК-Пресс,870,1934,55,На складе
Принятие решений и феномен неопределенности. Учебное пособие,Клименко Игорь Семенович,Лань:Компьютеры и программное обеспечение,988,2196,55,На складе
C#. Основы программирования (+CD). Учебное пособие для СПО,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,1418,3152,55,На складе
JavaScript для глубокого обучения. TensorFlow.js,Шолле Франсуа и др.,Питер:Библиотека программиста,3249,4166,22,На складе
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,696,1547,55,На складе
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,580,1289,55,На складе
"Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512",Куссвюрм Даниэль,ДМК-Пресс,1916,4257,55,На складе
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений,Райс Лиз,Питер:Бестселлеры O`Reilly,2075,2660,22,На складе
Те же 10 вопросов через 20 лет. Офис и компьютер,Проскурин Сергей Павлович,Деловой двор,316,405,22,На складе
Программирование. Введение в профессию. Том 1. Азы программирования,Столяров Андрей Викторович,ДМК-Пресс,1974,4386,55,На складе
Имитационное моделирование процессов и систем в АПК. Учебное пособие,"Худякова Елена Викторовна, Липатов Алексей Александрович",Колос:Учебники и учебные пособия для студентов вузов,1220,2710,55,На складе
ВОСХОД программиста,Земцов А. Н.,Деловой двор:Хочу в СССР,920,1180,22,На складе
JavaScript с нуля,Чиннатамби Кирупа,Питер:Библиотека программиста,1416,1816,22,На складе
Наглядный CSS,Сидельников Грег,Питер:Библиотека программиста,1288,1651,22,На складе
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,4887,6266,22,На складе
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,1493,3317,55,На складе
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,1423,3162,55,На складе
Математическое программирование.СПО,Ганичева Антонина Валериановна,Лань:Математика,749,1664,55,Ограничено
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64,Йо Ван Гуй,ДМК-Пресс,1277,2837,55,На складе
Обработка и представление данных в MS Excel. Учебное пособие,"Бурнаева Эльфия Гарифовна, Леора Светлана Николаевна",Лань:Компьютеры и программное обеспечение,587,1304,55,На складе
Вычисления в кольцах некоммутативных многочленов,Цирулик Владимир Григорьевич,Лань:Компьютеры и программное обеспечение,1887,4194,55,Ограничено
Парадигма программирования. Учебное пособие,Городняя Лидия Васильевна,Лань:Учебники для вузов. Специальная литература,1140,2534,55,Ограничено
ASP.NET Core 3 с примерами на C# для профессионалов,Фримен Адам,Вильямс,4968,11040,55,На складе
PowerShell для сисадминов,Бертрам Адам,Питер:Для профессионалов,2216,2841,22,Ограничено
Создаем динамические веб-сайты на PHP,"Татро Кевин, Макинтайр Питер",Питер:Бестселлеры O`Reilly,2132,2733,22,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Компьютеры и программное обеспечение,923,2051,55,На складе
HTTP/2 в действии,Поллард Барри,ДМК-Пресс,1682,3738,55,На складе
Методика моделирования динамики октокоптера,Щекатуров Александр Михайлович,ДМК-Пресс,1161,2580,55,На складе
"Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое",Курт Уилл,Питер:Библиотека программиста,2560,3282,22,На складе
Python. Лучшие практики и инструменты,"Яворски Михаил, Зиаде Терек",Питер:Библиотека программиста,2560,3282,22,На складе
Вероятностное программирование. Учебное пособие,Колбин Вячеслав Викторович,Лань:Математика,1477,3283,55,Ограничено
C# 9.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1166,2592,55,На складе
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие,"Пащенко Федор Федорович, Кудинов Юрий Иванович",Лань:Компьютеры и программное обеспечение,1886,4191,55,На складе
Обработка естественного языка. Python и spaCy на практике,Васильев Юрий,Питер:Библиотека программиста,1424,1826,22,На складе
Python для финансовых расчетов,Хилпиш Ив,Диалектика:Самоучитель,6210,13800,55,Ограничено
Разработка и анализ компьютерных алгоритмов,Ахо Альфред В. и др.,Вильямс,1789,3976,55,На складе
Научное программирование на Python,Хилл Кристиан,ДМК-Пресс,1857,4127,55,На складе
C#. Алгоритмы и структуры данных (+CD). СПО,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,1224,2719,55,На складе
C#. Программирование 2D и 3D векторной графики (+CD). СПО,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,1418,3152,55,Ограничено
Алгоритмизация и программирование. Практикум. СПО,Андрианова Анастасия Александровна,Лань:Компьютеры и программное обеспечение,1007,2237,55,На складе
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows,"Заяц Анатолий Моисеевич, Хабаров Сергей Петрович",Лань:Компьютеры и программное обеспечение,1121,2492,55,На складе
Разработка мобильных приложений на C# для iOS и Android,Черников Вячеслав,ДМК-Пресс,929,2064,55,На складе
C. Полное руководство. Классическое издание,Шилдт Герберт,Диалектика,3858,8574,55,На складе
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки,Де Йонге Дерек,ДМК-Пресс,696,1547,55,На складе
Как стать хакером,Притяну Эдриан,ДМК-Пресс,1161,2580,55,На складе
Шаблоны проектирования для облачной среды,Дэвис Корнелия,ДМК-Пресс,1393,3095,55,На складе
SQL для чайников,Тейлор Аллен Дж.,"Диалектика:Для ""чайников""",1400,3112,55,На складе
Введение в архитектуру программного обеспечения. Учебное пособие,Гагарина Лариса Геннадьевна и др.,Форум:Среднее профессиональное образование,1341,2981,55,Ограничено
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей,Форд Мартин,Питер:Библиотека программиста,1144,1467,22,На складе
Глубокое обучение и игра в го,"Памперла Макс, Фергюсон Кевин",ДМК-Пресс,1509,3354,55,На складе
Разработка игр на Unreal Engine 4 за 24 часа,Куксон Арам и др.,Бомбора:Мировой компьютерный бестселлер,2135,2925,27,На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,707,1572,55,На складе
Квантовые вычисления для настоящих айтишников,Бернхард Крис,Питер:Библиотека программиста,1116,1431,22,На складе
1400 задач по программированию,Златопольский Дмитрий Михайлович,ДМК-Пресс,466,1035,55,На складе
Бессерверные приложения на JavaScipt,"Стоянович Слободан, Симович Александар",ДМК-Пресс,1335,2966,55,На складе
Head First. Kotlin,"Гриффитс Дэвид, Гриффитс Дон",Питер:Head First (O'Reilly),2419,3101,22,На складе
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,1176,2613,55,На складе
Программирование в среде Delphi. Создание проектов. Учебное пособие,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,209,464,55,Ограничено
Программирование в среде Delphi. Основные команды. Первые проекты,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,329,732,55,На складе
Основы алгоритмизации и программирования на языке Microsoft Visual Basic. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,2322,5159,55,На складе
MATLAB 6.5 SP1/7/7 SP1/7 SP2 + Simulink 5/6. Инструменты искусственного интеллекта и биоинформатики,"Дьяконов Владимир Павлович, Круглов Владимир Васильевич",Солон-пресс:Библиотека профессионала,1034,2297,55,На складе
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,224,498,55,На складе
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс:Библиотека студента,353,784,55,На складе
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,147,327,55,Ограничено
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс:Библиотека студента,353,784,55,На складе
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс:Библиотека студента,496,1103,55,На складе
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,413,918,55,На складе
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс:Библиотека студента,186,414,55,Ограничено
VHDL. Справочное пособие по основам языка,Бабак В. П. и др.,ДМК-Пресс:Программируемые системы,580,1289,55,На складе
Глубокое обучение в биологии и медицине,Рамсундар Бхарат и др.,ДМК-Пресс,813,1806,55,На складе
"Современный язык Java. Лямбда-выражения, потоки и функциональное программирование",Урма Рауль-Габриэль и др.,Питер:Для профессионалов,2103,2696,22,На складе
Программирование на языке высокого уровня. Программирование на языке Object Pascal. Учебное пособие,Немцова Тамара Игоревна и др.,Форум:Высшее образование: Бакалавриат,1971,4381,55,На складе
Математическое программирование. Учебное пособие,Ржевский Сергей Владимирович,Лань:Учебники для вузов. Специальная литература,1706,3791,55,Ограничено
Практика нейросетевого моделирования. Учебное пособие,"Хливненко Любовь Владимировна, Пятакович Феликс Андреевич",Лань:Учебники для вузов. Специальная литература,1119,2487,55,Ограничено
Python и анализ данных,Маккини Уэс,ДМК-Пресс,1567,3482,55,На складе
Алгоритмы эволюционной оптимизации,Саймон Дэн,ДМК-Пресс,2322,5159,55,На складе
"Прикладные задачи оптимизации. Модели, методы, алгоритмы",Струченков Валерий Иванович,Солон-пресс:Библиотека профессионала,523,1163,55,На складе
Машинный интеллект. Очерки по теории машинного обучения и искусственного интеллекта,Шумский Сергей Александрович,РИОР:Наука и практика,1517,3370,55,На складе
C#. Программирование 2D и 3D векторной графики (+CD),"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,1243,2762,55,На складе
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,996,2214,55,На складе
Технология разработки программного обеспечения. Учебное пособие,Зубкова Татьяна Михайловна,Лань:Учебники для вузов. Специальная литература,1423,3162,55,На складе
C++ за 21 день,Рао Сиддхартха,Диалектика,3258,7240,55,На складе
Рефакторинг с использованием шаблонов,Кериевски Джошуа,Диалектика,2573,5717,55,Ограничено
Docker на практике,"Миллан Иан, Сейерс Эйдан Хобсон",ДМК-Пресс,1857,4127,55,На складе
Swift подробно,Чейрд Инт Вейн,ДМК-Пресс,1684,3742,55,На складе
Java. Справочник разработчика,"Эванс Бенджамин, Флэнаган Дэвид",Вильямс,2334,5186,55,На складе
Оптимизация программ на C++. Проверенные методы повышения производительности,Гантерот Курт,Диалектика,2334,5186,55,На складе
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,251,558,55,На складе
Идиомы и паттерны проектирования в современном С++,Пикус Федор Г.,ДМК-Пресс,1277,2837,55,На складе
Основы тестирования и верификации программного обеспечения,Старолетов Сергей Михайлович,Лань:Учебники для вузов. Специальная литература,1565,3477,55,Ограничено
Изучаем Python. Том 1,Лутц Марк,Диалектика,3258,7240,55,На складе
Рефакторинг кода на JavaScript. Улучшение проекта существующего кода,Фаулер Мартин,Вильямс,3858,8574,55,На складе
Язык программирования Python: практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Среднее профессиональное образование,957,2126,55,На складе
Машинное обучение и безопасность. Защита систем с помощью данных и алгоритмов,"Чио Кларенс, Фримэн Дэвид",ДМК-Пресс,1219,2709,55,На складе
Разработка интеллектуальных систем. Введение в технологию машинного обучения,Хултен Джефф,ДМК-Пресс,1044,2321,55,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Учебники для вузов. Специальная литература,871,1936,55,Ограничено
Экстремальное программирование. Разработка через тестирование,Бек Кент,Питер:Библиотека программиста,1106,1418,22,На складе
Объектно-ориентированное программирование с примерами на C#. Учебное пособие,Хорев Павел Борисович,Форум:Среднее профессиональное образование,1097,2437,55,На складе
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,224,498,55,Ограничено
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс:Библиотека студента,475,1055,55,На складе
Программирование. Сборник задач. Учебное пособие,Архипов Олег Григорьевич и др.,Лань:Учебники для вузов. Специальная литература,1254,2786,55,На складе
Скользкие места С++. Как избежать проблем  при проектировании и компиляции ваших программ,Дьюхэрст Стефан К.,ДМК-Пресс:Профессиональная серия от Addison-Wesley,522,1161,55,На складе
Программируем микрокомпьютер NXT в LabVIEW,"Белиовская Лидия Георгиевна, Белиовский Александр Евгеньевич",ДМК-Пресс:Все о LabVIEW,410,911,55,На складе
Dart в действии,Баккет Крис,ДМК-Пресс,1219,2709,55,На складе
MATLAB. Полный самоучитель,Дьяконов Владимир Павлович,ДМК-Пресс,1161,2580,55,На складе
С для программистов с введением в С11,"Дейтел Пол Дж., Дейтел Харви",ДМК-Пресс,945,2099,55,На складе
Параллельное и конкурентное программирование на Haskell,Марлоу Саймон,ДМК-Пресс:Функциональное программирование,929,2064,55,На складе
Практическое использование Common Lisp,Сайбель Питер,ДМК-Пресс:Функциональное программирование,1044,2321,55,На складе
Сбор данных в Интернете на языке R,Храмов Дмитрий Александрович,ДМК-Пресс,753,1674,55,На складе
Unity 5.x. Программирование искусственного интеллекта в играх,Паласиос Хорхе,ДМК-Пресс,813,1806,55,На складе
Программирование микроконтроллеров. Стратегия и тактика,Матюшин Андрей Олегович,ДМК-Пресс,929,2064,55,На складе
Ruby on Rails для начинающих. Изучаем разработку веб-приложений на основе Rails,Хартл Майкл,ДМК-Пресс,1277,2837,55,На складе
Программирование и отладка С/С++ приложений для микроконтроллеров ARM,Магда Юрий Степанович,ДМК-Пресс,522,1161,55,На складе
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ,Мэйерс Скотт,ДМК-Пресс:Профессиональная серия от Addison-Wesley,580,1289,55,На складе
"Assembler. Для DOS, Windows и Unix",Зубков Сергей Владимирович,ДМК-Пресс:Для программистов,970,2155,55,На складе
Лямбда-выражения в Java 8. Функциональное программирование - в массы,Уорбэртон Ричард,ДМК-Пресс:Функциональное программирование,466,1035,55,На складе
Системная инженерия. Принципы и практика,Косяков Александр и др.,ДМК-Пресс,1393,3095,55,На складе
Оптимизация приложений на платформе .Net,Голдштейн Саша и др.,ДМК-Пресс,1044,2321,55,На складе
Интерфейс. Основы проектирования взаимодействия,Купер Алан и др.,Питер:Для профессионалов,2076,2662,22,На складе
Аналоговые интерфейсы микроконтроллеров,Болл Стюарт Р.,Додека XXI век:Программируемые системы,696,1547,55,На складе
